Date,Open,High,Low,Close,Adj Close,Volume
2017-06-06,77.000000,77.250000,76.620003,77.000000,65.127960,2544500
2017-06-07,77.000000,77.269997,76.809998,77.160004,65.263298,2099500
2017-06-08,77.160004,77.160004,75.519997,75.790001,64.104523,3361600
2017-06-09,75.849998,76.089996,75.360001,75.769997,64.087616,2985600
2017-06-12,75.860001,76.000000,75.080002,75.550003,63.901539,2571700
2017-06-13,75.290001,75.809998,75.059998,75.690002,64.019958,2591000
2017-06-14,76.169998,76.349998,75.599998,75.879997,64.180656,2532800
2017-06-15,75.709999,76.570000,75.519997,76.349998,64.578194,2226500
2017-06-16,76.000000,76.599998,75.800003,76.309998,64.544342,3813700
2017-06-19,76.500000,76.900002,76.089996,76.900002,65.043388,2889900
2017-06-20,76.870003,77.239998,76.330002,76.349998,64.578194,2383200
2017-06-21,76.349998,76.360001,75.559998,75.680000,64.011497,2522800
2017-06-22,75.699997,75.860001,75.410004,75.529999,63.884621,2373500
2017-06-23,75.629997,76.480003,75.449997,75.919998,64.214516,3114300
2017-06-26,76.150002,76.190002,75.809998,75.889999,64.189102,1906700
2017-06-27,75.830002,75.970001,75.330002,75.370003,63.749283,3541100
2017-06-28,75.690002,75.830002,75.000000,75.089996,63.512455,2078600
2017-06-29,74.820000,75.040001,74.040001,74.120003,62.692017,2882800
2017-06-30,74.309998,74.470001,74.120003,74.129997,62.700481,3619100
2017-07-03,74.339996,74.470001,73.930000,73.940002,62.539768,1489900
2017-07-05,74.000000,74.190002,73.709999,73.760002,62.387524,2197400
2017-07-06,73.680000,74.000000,73.300003,73.449997,62.125313,2854000
2017-07-07,73.690002,73.760002,73.150002,73.339996,62.032269,2670400
2017-07-10,73.269997,73.690002,72.809998,73.080002,61.812382,2427900
2017-07-11,73.089996,73.099998,72.339996,72.400002,61.237221,3099000
2017-07-12,72.750000,72.860001,72.220001,72.279999,61.135723,2192100
2017-07-13,72.209999,72.589996,71.790001,72.230003,61.093418,3913500
2017-07-14,72.169998,72.669998,72.010002,72.489998,61.654781,2484100
2017-07-17,72.410004,72.870003,72.139999,72.589996,61.739830,3297000
2017-07-18,72.599998,72.860001,72.360001,72.519997,61.680286,2872600
2017-07-19,72.419998,72.680000,72.290001,72.489998,61.654781,2877400
