Date,Open,High,Low,Close,Adj Close,Volume
2017-06-06,34.330002,34.480000,34.099998,34.430000,29.798847,11523000
2017-06-07,34.189999,34.459999,34.090000,34.340000,30.052641,13022900
2017-06-08,34.340000,34.340000,33.840000,34.110001,29.851357,10756800
2017-06-09,34.049999,34.439999,34.049999,34.340000,30.052641,14868200
2017-06-12,34.220001,34.820000,34.220001,34.680000,30.350193,14344200
2017-06-13,34.680000,34.700001,34.200001,34.509998,30.201412,12112000
2017-06-14,34.540001,34.639999,34.150002,34.610001,30.288937,10591300
2017-06-15,34.410000,34.669998,34.380001,34.599998,30.280172,10177000
2017-06-16,34.590000,34.599998,33.919998,34.290001,30.008886,16193200
2017-06-19,34.369999,34.570000,34.279999,34.349998,30.061394,11221300
2017-06-20,34.340000,34.520000,34.150002,34.400002,30.105152,8296600
2017-06-21,34.480000,34.500000,33.950001,34.130001,29.868858,9127700
2017-06-22,34.049999,34.340000,33.860001,34.189999,29.921371,8937500
2017-06-23,34.139999,34.270000,33.959999,34.200001,29.930120,10238800
2017-06-26,34.270000,34.650002,34.180000,34.520000,30.210178,11836600
2017-06-27,34.330002,34.500000,34.020000,34.209999,29.938873,11679700
2017-06-28,34.570000,34.750000,34.459999,34.580002,30.262676,11025300
2017-06-29,34.660000,34.930000,34.529999,34.860001,30.507725,10209700
2017-06-30,34.970001,35.049999,34.770000,34.930000,30.568985,7679700
2017-07-03,34.520000,36.000000,34.450001,35.570000,31.129078,10915700
2017-07-05,35.570000,35.580002,34.880001,35.009998,30.638992,10819300
2017-07-06,34.869999,35.160000,34.730000,34.869999,30.516472,8567200
2017-07-07,35.000000,35.049999,34.770000,34.939999,30.577732,8623500
2017-07-10,35.000000,35.349998,34.869999,35.189999,30.796515,10546400
2017-07-11,35.189999,35.459999,35.139999,35.400002,30.980303,10124200
2017-07-12,35.500000,35.900002,35.470001,35.500000,31.067814,7529400
2017-07-13,35.500000,36.119999,35.450001,35.860001,31.382875,13828400
2017-07-14,36.029999,36.439999,35.980000,36.349998,31.811695,10241300
2017-07-17,36.380001,36.540001,36.200001,36.380001,31.837952,10631800
2017-07-18,36.310001,36.490002,36.220001,36.430000,31.881710,7769000
2017-07-19,36.380001,36.540001,36.299999,36.470001,31.916706,7816800
2017-07-20,36.500000,36.630001,36.290001,36.410000,31.864197,10159200
2017-07-21,36.049999,36.110001,35.709999,36.070000,31.566652,8831800
2017-07-24,35.990002,36.090000,35.720001,35.820000,31.347864,11699800
2017-07-25,35.939999,36.169998,35.500000,35.570000,31.129078,14540100
2017-07-26,35.549999,35.910000,35.400002,35.619999,31.172838,10814200
2017-07-27,35.520000,35.990002,35.380001,35.939999,31.452883,10006500
2017-07-28,35.820000,35.869999,35.480000,35.770000,31.304110,7531900
2017-07-31,35.820000,36.299999,35.790001,35.980000,31.487886,13855500
