Date,Open,High,Low,Close,Adj Close,Volume
2017-06-06,172.249161,172.792648,171.747498,171.747498,125.750290,1744725
2017-06-07,172.015045,172.132111,170.652176,171.413040,125.505371,2255178
2017-06-08,171.413040,172.265884,170.643814,172.190628,126.074738,2931755
2017-06-09,172.240799,173.051834,171.939804,173.018402,126.680824,2264148
2017-06-12,173.018402,174.264221,171.822739,173.403015,126.962402,2856287
2017-06-13,173.561874,175.309372,173.545151,174.841141,128.015411,2019805
2017-06-14,175.401337,176.245819,175.192307,175.593643,128.566360,1896019
2017-06-15,175.167221,176.688965,175.117050,176.663879,129.349930,1906544
2017-06-16,177.031769,178.478256,176.789291,178.294312,130.543762,4091038
2017-06-19,178.929764,178.929764,177.842804,178.394653,130.617203,1994450
2017-06-20,178.469894,179.406357,178.135452,178.394653,130.617203,1831315
2017-06-21,178.946487,178.946487,177.332779,177.976593,130.311111,2168228
2017-06-22,177.867889,178.193985,177.332779,177.441467,129.919312,1674878
2017-06-23,177.257523,178.235779,177.015045,178.010040,130.335587,1895540
2017-06-26,177.918060,178.486618,177.516724,177.767563,130.158096,1617112
2017-06-27,177.257523,177.675583,175.066895,175.401337,128.425552,2679279
2017-06-28,176.237457,176.571899,175.660538,176.103683,128.939804,1845308
2017-06-29,176.463211,176.463211,173.143814,173.787628,127.244034,2164640
2017-06-30,175.510040,175.510040,173.787628,174.071899,127.452141,2116920
2017-07-03,174.866226,175.869568,174.540131,175.443146,128.456146,1244079
2017-07-05,175.585281,175.785950,175.091980,175.384613,128.413315,1274099
2017-07-06,174.790970,175.351166,173.821075,173.929764,127.348114,1423120
2017-07-07,174.331100,175.710709,173.954849,175.242477,128.309219,1831076
2017-07-10,175.250839,177.040131,174.740799,175.994980,128.860184,1564846
2017-07-11,175.928101,176.588623,173.913040,175.301010,128.352081,1516648
2017-07-12,176.346161,177.909698,175.811035,176.672241,129.356094,1731688
2017-07-13,176.588623,177.257523,175.735779,176.496658,129.227493,1362005
2017-07-14,176.856186,177.458191,176.112045,177.065216,129.643799,1270152
2017-07-17,177.424744,177.424744,176.078598,176.989960,129.588699,1568315
2017-07-18,176.153839,176.856186,175.836121,176.680603,129.362213,1868870
2017-07-19,176.847824,177.349503,176.563538,177.341141,129.845856,987059
2017-07-20,177.433105,178.436462,177.307693,177.633774,130.060089,1611490
2017-07-21,176.964890,177.123749,175.150497,176.555191,129.270416,2686455
2017-07-24,176.588623,176.973251,175.585281,175.585281,128.560242,2589579
2017-07-25,169.439804,170.986618,164.857864,166.714050,122.064873,7885228
2017-07-26,167.600327,168.185623,166.011703,166.413040,121.844513,3494832
2017-07-27,166.505020,167.692307,165.275925,167.265884,122.468933,2600702
2017-07-28,167.884613,168.093643,166.128769,166.989960,122.266899,1779648
2017-07-31,167.224075,168.612045,167.065216,168.202347,123.154633,2192986
2017-08-01,169.138794,169.991638,168.695648,169.882950,124.385086,2410060
2017-08-02,169.891296,171.906357,169.581940,171.747498,125.750290,2427402
2017-08-03,172.165558,173.612045,171.505020,173.595322,127.103249,2456823
2017-08-04,173.871231,174.423080,172.332779,173.620407,127.121567,1821149
2017-08-07,173.829437,174.247498,172.809372,173.444809,126.992989,1402430
2017-08-08,172.934784,173.821075,171.981598,172.600327,126.374741,2220135
2017-08-09,172.817719,173.837799,171.897995,172.642136,126.405357,1940151
2017-08-10,171.923080,173.210709,171.555191,172.433105,126.252251,1879514
2017-08-11,172.951508,172.951508,171.931442,172.224075,126.099213,1737549
2017-08-14,172.792648,173.603683,172.299332,173.386292,126.950180,1512222
2017-08-15,173.076920,173.779266,172.667221,173.227432,126.833870,1254006
2017-08-16,173.252502,174.439804,172.759201,173.846161,127.286880,2038343
2017-08-17,173.737457,174.013382,171.638794,171.697327,125.713531,1670214
2017-08-18,171.697327,171.931442,170.108704,170.175583,124.599350,2198966
2017-08-21,170.401337,171.321075,169.740799,171.028427,125.223808,1874850
2017-08-22,171.571899,172.123749,171.095322,171.789291,125.780869,2501075
2017-08-23,170.610367,170.652176,169.163879,169.456528,124.927391,1515691
2017-08-24,170.476593,170.476593,168.862869,168.996658,124.588318,1472037
2017-08-25,170.100327,170.108704,168.938126,169.005020,124.594498,1480768
2017-08-28,169.548492,169.958191,168.770905,169.280930,124.797897,1404941
2017-08-29,169.063538,169.799332,168.336121,169.665558,125.081451,1185595
2017-08-30,169.665558,170.309372,168.896317,170.309372,125.556084,1430655
2017-08-31,170.836121,171.086960,169.749161,170.836121,125.944435,1875208
2017-09-01,171.078598,171.329437,169.924744,170.200668,125.475967,1689948
2017-09-05,169.105347,169.339462,167.650497,168.043472,123.885605,2313662
2017-09-06,168.687286,169.105347,168.260864,168.938126,124.545219,2674495
2017-09-07,168.453171,171.162201,168.453171,170.953171,126.030724,2034994
2017-09-08,170.861206,172.341141,169.866226,171.981598,126.788902,1762904
2017-09-11,172.625412,175.401337,172.316055,175.217392,129.174393,2160813
2017-09-12,175.510040,176.387955,174.966553,175.284286,129.223724,1723675
2017-09-13,174.849503,175.827759,174.389633,175.158859,129.131226,1351002
2017-09-14,174.874588,177.182281,174.531769,176.780930,130.327057,2373103
2017-09-15,177.750839,179.030106,176.137131,178.386292,131.510590,4349134
2017-09-18,178.929764,178.963211,177.734116,178.729095,131.763290,1521790
2017-09-19,179.122070,179.473251,177.968231,178.561874,131.640076,1709921
2017-09-20,177.065216,177.759201,174.172241,176.011703,129.759995,3572691
2017-09-21,176.337799,176.939804,175.785950,175.953171,129.716812,1653350
2017-09-22,175.284286,176.672241,174.983276,176.220734,129.914078,1785987
2017-09-25,176.404678,176.605347,175.058533,176.195648,129.895599,1924603
2017-09-26,176.638794,177.951508,176.362869,176.446487,130.080536,1464622
2017-09-27,176.496658,176.739136,174.046829,175.150497,129.125153,2230660
2017-09-28,174.163879,175.484955,174.122070,175.209030,129.168198,2502989
2017-09-29,174.799332,175.501678,174.523407,175.501678,129.383957,1952111
2017-10-02,176.195648,177.918060,175.610367,177.892975,131.146912,1545352
2017-10-03,177.775925,179.431442,176.739136,179.406357,132.262619,1955340
2017-10-04,179.640472,181.387955,179.347824,181.036789,133.464584,1957134
2017-10-05,181.011703,181.948166,180.518402,180.911377,133.372162,2081638
