Date,Open,High,Low,Close,Adj Close,Volume
2017-06-06,51.090000,51.180000,50.709999,50.790001,37.532974,3850700
2017-06-07,50.759998,51.119999,50.709999,51.009998,37.695538,4475500
2017-06-08,51.009998,51.009998,50.490002,50.740002,37.496017,5667000
2017-06-09,50.630001,50.730000,50.340000,50.680000,37.451679,3498100
2017-06-12,50.860001,51.340000,50.750000,50.849998,37.577312,4967500
2017-06-13,50.799999,51.160000,50.689999,51.060001,37.732502,3653400
2017-06-14,51.360001,51.630001,51.209999,51.220001,37.850735,4916000
2017-06-15,51.209999,51.750000,51.189999,51.709999,38.212837,5185300
2017-06-16,51.779999,51.970001,51.450001,51.529999,38.079815,8791500
2017-06-19,51.490002,51.669998,51.230000,51.419998,37.998531,4144600
2017-06-20,51.430000,51.740002,51.419998,51.709999,38.212837,2724000
2017-06-21,51.730000,51.770000,51.000000,51.200001,37.835949,3678000
2017-06-22,51.049999,51.049999,50.250000,50.380001,37.229988,5180000
2017-06-23,50.299999,50.400002,49.759998,49.840000,36.830936,5480700
2017-06-26,49.889999,50.360001,49.730000,50.099998,37.023071,3721100
2017-06-27,49.900002,49.990002,49.279999,49.400002,36.505787,4399200
2017-06-28,49.520000,49.549999,49.099998,49.150002,36.321037,4316100
2017-06-29,48.740002,48.750000,48.160000,48.290001,35.685513,7203200
2017-06-30,48.240002,48.450001,47.869999,47.880001,35.382530,5782900
2017-07-03,47.990002,48.049999,47.580002,47.650002,35.212563,2804200
2017-07-05,47.720001,47.730000,47.340000,47.419998,35.042603,4753800
2017-07-06,47.279999,47.490002,47.130001,47.400002,35.027817,4044800
2017-07-07,47.450001,47.599998,47.279999,47.360001,34.998260,3510100
2017-07-10,47.660000,47.669998,47.270000,47.279999,34.939144,3980100
2017-07-11,47.360001,47.419998,47.090000,47.279999,34.939144,3380700
2017-07-12,47.549999,47.660000,47.470001,47.509998,35.109108,3439700
2017-07-13,47.619999,47.650002,47.099998,47.119999,34.820908,3334900
2017-07-14,47.419998,47.560001,47.220001,47.259998,34.924347,3453800
2017-07-17,47.250000,47.310001,46.910000,47.040001,34.761776,5191000
2017-07-18,47.099998,47.169998,46.869999,47.119999,34.820908,4916700
2017-07-19,47.200001,47.299999,47.080002,47.230000,34.902195,3519900
2017-07-20,47.310001,47.430000,47.189999,47.320000,34.968700,3373800
2017-07-21,47.270000,47.880001,47.200001,47.880001,35.382530,4117200
2017-07-24,47.860001,47.880001,47.240002,47.250000,34.916965,4513300
2017-07-25,47.290001,47.320000,46.759998,46.779999,34.569645,4010400
2017-07-26,46.779999,47.400002,46.709999,47.400002,35.027817,4153200
2017-07-27,47.189999,47.820000,47.049999,47.820000,35.338188,4629100
2017-07-28,47.810001,47.970001,47.259998,47.509998,35.109108,4263400
2017-07-31,47.509998,48.000000,47.330002,47.930000,35.419476,5973100
2017-08-01,48.029999,49.060001,48.009998,48.529999,35.862869,8875900
